Remanei_Gene,Latens_Gene,dN,dS,dN.dS,ENC,dS_corrected,dn.ds_corrected,cre1,cre2,cre3,cre4,clat1,clat2,clat3,clat4,ortho_names,C..remanei.Gene.name,C.latens.Gene.name,C..remanei.Gene.name_C.latens.Gene.name,chromosome,Module
KAF1749879.1,OZG13920.1,0.0106617500942744,0.165844933084556,0.0642874635720012,55.5223658306207,0.198033921622863,0.0538379991008748,KAF1749879.1,GCK72_016424,KAF1749879.1,remanei_genome_00000040,OZG13920.1,FL83_11778,OZG13920.1,latens_genome_00019916,remanei_genome_00000040_latens_genome_00019916,remanei_genome_00000040,latens_genome_00019916,remanei_genome_00000040_latens_genome_00019916,V,yellow
KAF1749881.1,OZG13868.1,0.0347262556698034,0.215040547851512,0.161487012643691,51.9764515226379,0.268066889065821,0.129543248667599,KAF1749881.1,GCK72_016426,KAF1749881.1,remanei_genome_00000041,OZG13868.1,FL83_11780,OZG13868.1,latens_genome_00019917,remanei_genome_00000041_latens_genome_00019917,remanei_genome_00000041,latens_genome_00019917,remanei_genome_00000041_latens_genome_00019917,V,yellow
KAF1749882.1,OZG13867.1,0.0055446864146713,0.101732528866431,0.0545025910242646,50.3443129388458,0.16435003454008,0.0337370565828456,KAF1749882.1,GCK72_016427,KAF1749882.1,remanei_genome_00000042,OZG13867.1,FL83_11781,OZG13867.1,latens_genome_00019918,remanei_genome_00000042_latens_genome_00019918,remanei_genome_00000042,latens_genome_00019918,remanei_genome_00000042_latens_genome_00019918,V,turquoise
KAF1749883.1,OZG13865.1,0.00340421587765445,0.259650376117911,0.0131107681357971,53.8843192973006,0.301465246826482,0.0112922332291717,KAF1749883.1,GCK72_016428,KAF1749883.1,remanei_genome_00000043,OZG13865.1,FL83_11783,OZG13865.1,latens_genome_00019919,remanei_genome_00000043_latens_genome_00019919,remanei_genome_00000043,latens_genome_00019919,remanei_genome_00000043_latens_genome_00019919,V,yellow
KAF1749888.1,OZG13864.1,0.0010654715054782,0.152584909506527,0.00698281048187547,46.0079594197878,0.240684736453709,0.00442683454371492,KAF1749888.1,GCK72_016433,KAF1749888.1,remanei_genome_00000047,OZG13864.1,FL83_11788,OZG13864.1,latens_genome_00019925,remanei_genome_00000047_latens_genome_00019925,remanei_genome_00000047,latens_genome_00019925,remanei_genome_00000047_latens_genome_00019925,V,red
KAF1749890.1,OZG13876.1,0.00190917178566753,0.144568561776381,0.0132059955650707,41.9211887783636,0.256684051191654,0.00743782785414292,KAF1749890.1,GCK72_016435,KAF1749890.1,remanei_genome_00000048,OZG13876.1,FL83_11790,OZG13876.1,latens_genome_00019926,remanei_genome_00000048_latens_genome_00019926,remanei_genome_00000048,latens_genome_00019926,remanei_genome_00000048_latens_genome_00019926,V,blue
KAF1749891.1,OZG13877.1,0.0133928485626812,0.20506239561784,0.0653110899359651,53.469382427586,0.249315617945076,0.0537184500235827,KAF1749891.1,GCK72_016436,KAF1749891.1,remanei_genome_00000050,OZG13877.1,FL83_11791,OZG13877.1,latens_genome_00019927,remanei_genome_00000050_latens_genome_00019927,remanei_genome_00000050,latens_genome_00019927,remanei_genome_00000050_latens_genome_00019927,V,turquoise
KAF1749898.1,OZG13879.1,0.00441946197539621,0.1441076864323,0.0306677741126073,50.6848865141692,0.204723831924975,0.0215874328544994,KAF1749898.1,GCK72_016443,KAF1749898.1,remanei_genome_00000053,OZG13879.1,FL83_11793,OZG13879.1,latens_genome_00019929,remanei_genome_00000053_latens_genome_00019929,remanei_genome_00000053,latens_genome_00019929,remanei_genome_00000053_latens_genome_00019929,V,green
KAF1749900.1,OZG13903.1,0.000000000130260260663458,0.121863630126504,0.00000000106890185798862,48.4313508600962,0.195722542678201,0.000000000665535297472742,KAF1749900.1,GCK72_016445,KAF1749900.1,remanei_genome_00000054,OZG13903.1,FL83_11795,OZG13903.1,latens_genome_00019931,remanei_genome_00000054_latens_genome_00019931,remanei_genome_00000054,latens_genome_00019931,remanei_genome_00000054_latens_genome_00019931,V,magenta
KAF1749901.1,OZG13874.1,0.0152215608292178,0.2025569069118,0.0751470836580548,49.7632014111601,0.268589279611202,0.0566722575497126,KAF1749901.1,GCK72_016446,KAF1749901.1,remanei_genome_00000055,OZG13874.1,FL83_11796,OZG13874.1,latens_genome_00019932,remanei_genome_00000055_latens_genome_00019932,remanei_genome_00000055,latens_genome_00019932,remanei_genome_00000055_latens_genome_00019932,V,yellow
KAF1749902.1,OZG13875.1,0.0316073270096057,0.184098753679973,0.171686806009291,58.5515650274183,0.198486834890251,0.159241427911742,KAF1749902.1,GCK72_016447,KAF1749902.1,remanei_genome_00000056,OZG13875.1,FL83_11797,OZG13875.1,latens_genome_00019933,remanei_genome_00000056_latens_genome_00019933,remanei_genome_00000056,latens_genome_00019933,remanei_genome_00000056_latens_genome_00019933,V,blue
KAF1749905.1,OZG13843.1,0.0149877344017602,0.175031071745363,0.0856289929114103,48.964027081879,0.245759744440326,0.0609853108200942,KAF1749905.1,GCK72_016450,KAF1749905.1,remanei_genome_00000058,OZG13843.1,FL83_11800,OZG13843.1,latens_genome_00019937,remanei_genome_00000058_latens_genome_00019937,remanei_genome_00000058,latens_genome_00019937,remanei_genome_00000058_latens_genome_00019937,V,black
KAF1749906.1,OZG13844.1,0.020005862068355,0.146437252415199,0.136617300163702,42.6918103706907,0.254024230280457,0.0787557236026949,KAF1749906.1,GCK72_016451,KAF1749906.1,remanei_genome_00000059,OZG13844.1,FL83_11801,OZG13844.1,latens_genome_00019938,remanei_genome_00000059_latens_genome_00019938,remanei_genome_00000059,latens_genome_00019938,remanei_genome_00000059_latens_genome_00019938,V,blue
KAF1749907.1,OZG13845.1,0.0151444096512271,0.0743144602247918,0.203788194187473,51.4091480495585,0.130674526260444,0.115894123243601,KAF1749907.1,GCK72_016452,KAF1749907.1,remanei_genome_00000060,OZG13845.1,FL83_11802,OZG13845.1,latens_genome_00019939,remanei_genome_00000060_latens_genome_00019939,remanei_genome_00000060,latens_genome_00019939,remanei_genome_00000060_latens_genome_00019939,V,turquoise
KAF1749908.1,OZG13846.1,0.00382227834451664,0.181170638758039,0.0210976699685949,51.8148572898177,0.235146578785863,0.0162548754238836,KAF1749908.1,GCK72_016453,KAF1749908.1,remanei_genome_00000061,OZG13846.1,FL83_11803,OZG13846.1,latens_genome_00019940,remanei_genome_00000061_latens_genome_00019940,remanei_genome_00000061,latens_genome_00019940,remanei_genome_00000061_latens_genome_00019940,V,turquoise
KAF1749909.1,OZG13839.1,0.00299845743758992,0.16021244082721,0.0187155093706099,54.7960776447451,0.196669418312524,0.0152461804347493,KAF1749909.1,GCK72_016454,KAF1749909.1,remanei_genome_00000062,OZG13839.1,FL83_11804,OZG13839.1,latens_genome_00019941,remanei_genome_00000062_latens_genome_00019941,remanei_genome_00000062,latens_genome_00019941,remanei_genome_00000062_latens_genome_00019941,V,magenta
KAF1749910.1,OZG13840.1,0.00453508636240195,0.193002662521686,0.0234975326409934,53.4689923047321,0.237258177382466,0.0191145629307068,KAF1749910.1,GCK72_016455,KAF1749910.1,remanei_genome_00000063,OZG13840.1,FL83_11805,OZG13840.1,latens_genome_00019942,remanei_genome_00000063_latens_genome_00019942,remanei_genome_00000063,latens_genome_00019942,remanei_genome_00000063_latens_genome_00019942,V,yellow
KAF1749912.1,OZG13847.1,0.00392469930076246,0.124043630543529,0.0316396681035969,55.9636398028611,0.153639499060404,0.0255448587424738,KAF1749912.1,GCK72_016457,KAF1749912.1,remanei_genome_00000065,OZG13847.1,FL83_11808,OZG13847.1,latens_genome_00019944,remanei_genome_00000065_latens_genome_00019944,remanei_genome_00000065,latens_genome_00019944,remanei_genome_00000065_latens_genome_00019944,V,blue
KAF1749913.1,OZG13848.1,0.0719463766171355,0.238757754044779,0.301336293369731,56.0758988573538,0.26769393896347,0.268763562207336,KAF1749913.1,GCK72_016458,KAF1749913.1,remanei_genome_00000066,OZG13848.1,FL83_11809,OZG13848.1,latens_genome_00019946,remanei_genome_00000066_latens_genome_00019946,remanei_genome_00000066,latens_genome_00019946,remanei_genome_00000066_latens_genome_00019946,V,brown
KAF1749914.1,OZG13897.1,0.00461794097879466,0.19028617782108,0.0242683994795291,55.9091927224596,0.220202001339109,0.020971385140515,KAF1749914.1,GCK72_016459,KAF1749914.1,remanei_genome_00000067,OZG13897.1,FL83_11811,OZG13897.1,latens_genome_00019948,remanei_genome_00000067_latens_genome_00019948,remanei_genome_00000067,latens_genome_00019948,remanei_genome_00000067_latens_genome_00019948,V,brown
KAF1749915.1,OZG13896.1,0.020232218573841,0.227363779084516,0.0889861113995657,54.3416444233198,0.266491206129542,0.0759207737759499,KAF1749915.1,GCK72_016460,KAF1749915.1,remanei_genome_00000068,OZG13896.1,FL83_11812,OZG13896.1,latens_genome_00019949,remanei_genome_00000068_latens_genome_00019949,remanei_genome_00000068,latens_genome_00019949,remanei_genome_00000068_latens_genome_00019949,V,red
KAF1749916.1,OZG13902.1,0.0144468867212459,0.195500702668157,0.073896853177904,53.2443044092902,0.241076582465228,0.0599265452227392,KAF1749916.1,GCK72_016461,KAF1749916.1,remanei_genome_00000069,OZG13902.1,FL83_11814,OZG13902.1,latens_genome_00019951,remanei_genome_00000069_latens_genome_00019951,remanei_genome_00000069,latens_genome_00019951,remanei_genome_00000069_latens_genome_00019951,V,turquoise
KAF1749917.1,OZG13901.1,0.00304884526066846,0.133703360323788,0.0228030563576345,46.4793080317828,0.219033335433499,0.0139195490706214,KAF1749917.1,GCK72_016462,KAF1749917.1,remanei_genome_00000070,OZG13901.1,FL83_11815,OZG13901.1,latens_genome_00019952,remanei_genome_00000070_latens_genome_00019952,remanei_genome_00000070,latens_genome_00019952,remanei_genome_00000070_latens_genome_00019952,V,turquoise
KAF1749918.1,OZG13900.1,0.00613614084468011,0.19431072389861,0.0315790128386424,54.561624119251,0.232145453459279,0.0264323110930814,KAF1749918.1,GCK72_016463,KAF1749918.1,remanei_genome_00000071,OZG13900.1,FL83_11816,OZG13900.1,latens_genome_00019953,remanei_genome_00000071_latens_genome_00019953,remanei_genome_00000071,latens_genome_00019953,remanei_genome_00000071_latens_genome_00019953,V,blue
KAF1749920.1,OZG13899.1,0.00251118342091631,0.0902934307174591,0.0278113634730987,49.1043132561023,0.160197720126769,0.0156755253378708,KAF1749920.1,GCK72_016465,KAF1749920.1,remanei_genome_00000073,OZG13899.1,FL83_11817,OZG13899.1,latens_genome_00019954,remanei_genome_00000073_latens_genome_00019954,remanei_genome_00000073,latens_genome_00019954,remanei_genome_00000073_latens_genome_00019954,V,blue
KAF1749923.1,OZG13893.1,0.000000000130773615282433,0.109470657831896,0.00000000119459970253627,57.2904880097447,0.131269382471912,0.000000000996223283905635,KAF1749923.1,GCK72_016468,KAF1749923.1,remanei_genome_00000075,OZG13893.1,FL83_11819,OZG13893.1,latens_genome_00019956,remanei_genome_00000075_latens_genome_00019956,remanei_genome_00000075,latens_genome_00019956,remanei_genome_00000075_latens_genome_00019956,V,blue
KAF1749924.1,OZF81465.1,0.0266566394266506,0.177991648755001,0.149763427740043,45.6157275078651,0.268396402998681,0.0993181694271126,KAF1749924.1,GCK72_016469,KAF1749924.1,remanei_genome_00000076,OZF81465.1,FL83_24051,OZF81465.1,latens_genome_00019957,remanei_genome_00000076_latens_genome_00019957,remanei_genome_00000076,latens_genome_00019957,remanei_genome_00000076_latens_genome_00019957,V,magenta
KAF1749926.1,OZG13651.1,0.0203943480851756,0.239395069948029,0.0851911782878531,53.529516138396,0.283294920131713,0.0719898121565103,KAF1749926.1,GCK72_016471,KAF1749926.1,remanei_genome_00000077,OZG13651.1,FL83_12241,OZG13651.1,latens_genome_00019959,remanei_genome_00000077_latens_genome_00019959,remanei_genome_00000077,latens_genome_00019959,remanei_genome_00000077_latens_genome_00019959,V,turquoise
KAF1749929.1,OZG13652.1,0.0348316379263,0.237973679240913,0.146367606860581,56.0875209598214,0.26684156757178,0.130533028430551,KAF1749929.1,GCK72_016474,KAF1749929.1,remanei_genome_00000078,OZG13652.1,FL83_12240,OZG13652.1,latens_genome_00019960,remanei_genome_00000078_latens_genome_00019960,remanei_genome_00000078,latens_genome_00019960,remanei_genome_00000078_latens_genome_00019960,V,green
KAF1749930.1,OZG13599.1,0.0395557550690135,0.235434891111124,0.168011439945592,59.5458945418488,0.243979854589622,0.162127136011073,KAF1749930.1,GCK72_016475,KAF1749930.1,remanei_genome_00000079,OZG13599.1,FL83_12238,OZG13599.1,latens_genome_00019961,remanei_genome_00000079_latens_genome_00019961,remanei_genome_00000079,latens_genome_00019961,remanei_genome_00000079_latens_genome_00019961,V,turquoise
KAF1749931.1,OZG13606.1,0.0013858058982077,0.244261988697367,0.00567344065934334,53.1993528355407,0.290102023720482,0.00477696046527048,KAF1749931.1,GCK72_016476,KAF1749931.1,remanei_genome_00000080,OZG13606.1,FL83_12237,OZG13606.1,latens_genome_00019962,remanei_genome_00000080_latens_genome_00019962,remanei_genome_00000080,latens_genome_00019962,remanei_genome_00000080_latens_genome_00019962,V,brown
KAF1749933.1,OZG13608.1,0.0433607248675786,0.285581393258984,0.151833158220698,50.2608506334776,0.348689360162391,0.124353449865475,KAF1749933.1,GCK72_016478,KAF1749933.1,remanei_genome_00000082,OZG13608.1,FL83_12235,OZG13608.1,latens_genome_00019964,remanei_genome_00000082_latens_genome_00019964,remanei_genome_00000082,latens_genome_00019964,remanei_genome_00000082_latens_genome_00019964,V,brown
KAF1749934.1,OZG13607.1,0.00628048651131134,0.207679787374065,0.0302412025297347,46.6204288547165,0.292180474435055,0.0214952300404569,KAF1749934.1,GCK72_016479,KAF1749934.1,remanei_genome_00000083,OZG13607.1,FL83_12234,OZG13607.1,latens_genome_00019965,remanei_genome_00000083_latens_genome_00019965,remanei_genome_00000083,latens_genome_00019965,remanei_genome_00000083_latens_genome_00019965,V,brown
KAF1749936.1,OZG13601.1,0.013372631391133,0.228075873334778,0.0586323805127087,59.7139913084566,0.235633026250111,0.0567519400991723,KAF1749936.1,GCK72_016481,KAF1749936.1,remanei_genome_00000084,OZG13601.1,FL83_12232,OZG13601.1,latens_genome_00019967,remanei_genome_00000084_latens_genome_00019967,remanei_genome_00000084,latens_genome_00019967,remanei_genome_00000084_latens_genome_00019967,V,black
KAF1749938.1,OZG13583.1,0.00388177092532492,0.163863473604219,0.0236890555286323,55.5159323465804,0.19609026812548,0.0197958366951742,KAF1749938.1,GCK72_016483,KAF1749938.1,remanei_genome_00000085,OZG13583.1,FL83_12227,OZG13583.1,latens_genome_00019969,remanei_genome_00000085_latens_genome_00019969,remanei_genome_00000085,latens_genome_00019969,remanei_genome_00000085_latens_genome_00019969,V,blue
KAF1749939.1,OZG13584.1,0.0188398006581335,0.276022407561699,0.068254605937825,59.145730744932,0.286918909582951,0.065662457331648,KAF1749939.1,GCK72_016484,KAF1749939.1,remanei_genome_00000086,OZG13584.1,FL83_12226,OZG13584.1,latens_genome_00019970,remanei_genome_00000086_latens_genome_00019970,remanei_genome_00000086,latens_genome_00019970,remanei_genome_00000086_latens_genome_00019970,V,green
KAF1749941.1,OZG13579.1,0.00787375894906372,0.14438986675361,0.0545312432658426,50.2962285397582,0.207289937513433,0.0379842796206809,KAF1749941.1,GCK72_016486,KAF1749941.1,remanei_genome_00000088,OZG13579.1,FL83_12223,OZG13579.1,latens_genome_00019972,remanei_genome_00000088_latens_genome_00019972,remanei_genome_00000088,latens_genome_00019972,remanei_genome_00000088_latens_genome_00019972,V,turquoise
KAF1749944.1,OZG13578.1,0.00572629649903067,0.192747002872303,0.0297088743985524,56.4970914270423,0.219208074926775,0.0261226531045606,KAF1749944.1,GCK72_016489,KAF1749944.1,remanei_genome_00000090,OZG13578.1,FL83_12220,OZG13578.1,latens_genome_00019975,remanei_genome_00000090_latens_genome_00019975,remanei_genome_00000090,latens_genome_00019975,remanei_genome_00000090_latens_genome_00019975,V,yellow
KAF1749949.1,OZG13640.1,0.00985296495359718,0.134071122931147,0.0734905827458255,46.3951138440703,0.219895860133298,0.0448074145080514,KAF1749949.1,GCK72_016494,KAF1749949.1,remanei_genome_00000092,OZG13640.1,FL83_12216,OZG13640.1,latens_genome_00019980,remanei_genome_00000092_latens_genome_00019980,remanei_genome_00000092,latens_genome_00019980,remanei_genome_00000092_latens_genome_00019980,V,brown
KAF1749950.1,OZG13639.1,0.00965793726209282,0.174350941372132,0.0553936628393594,50.4683736026499,0.236239411998577,0.0408819899287211,KAF1749950.1,GCK72_016495,KAF1749950.1,remanei_genome_00000093,OZG13639.1,FL83_12215,OZG13639.1,latens_genome_00019981,remanei_genome_00000093_latens_genome_00019981,remanei_genome_00000093,latens_genome_00019981,remanei_genome_00000093_latens_genome_00019981,V,blue
KAF1749955.1,OZG13643.1,0.276118623804447,3.99214444317129,0.0691654893090751,53.3635084693091,4.0370198274619,0.0683966479248244,KAF1749955.1,GCK72_016500,KAF1749955.1,remanei_genome_00000096,OZG13643.1,FL83_12211,OZG13643.1,latens_genome_00019985,remanei_genome_00000096_latens_genome_00019985,remanei_genome_00000096,latens_genome_00019985,remanei_genome_00000096_latens_genome_00019985,V,pink
KAF1749961.1,OZG13594.1,0.00785019704256094,0.280188276229989,0.028017578566054,53.9872430633907,0.321398321602557,0.0244251339067929,KAF1749961.1,GCK72_016506,KAF1749961.1,remanei_genome_00000098,OZG13594.1,FL83_12206,OZG13594.1,latens_genome_00019989,remanei_genome_00000098_latens_genome_00019989,remanei_genome_00000098,latens_genome_00019989,remanei_genome_00000098_latens_genome_00019989,V,turquoise
KAF1749963.1,OZG13596.1,0.00839294802143079,0.249258299668636,0.0336716892981632,51.1148479676327,0.307347802477721,0.0273076558666437,KAF1749963.1,GCK72_016508,KAF1749963.1,remanei_genome_00000100,OZG13596.1,FL83_12204,OZG13596.1,latens_genome_00019990,remanei_genome_00000100_latens_genome_00019990,remanei_genome_00000100,latens_genome_00019990,remanei_genome_00000100_latens_genome_00019990,V,turquoise
